Unnamed: 0,Month,Year,nDays,DecYear,Q,Conc,GenConc,FNConc,Flux,GenFlux,FNFlux,Date,wy
198,3,2010,31,2010.20319634703,1.63369934614127,0.0656632675039432,0.0681262627742752,0.0711276287514075,9.24616806093792,9.59239688122313,14.1881015953973,2010-03-31,2010
199,4,2010,30,2010.28675799087,12.3832400854863,0.0902945017921063,0.0859216830599855,0.0786021705164885,127.53503259666,120.152497515792,66.0206461532483,2010-04-30,2010
200,5,2010,31,2010.3703196347,20.5187522574064,0.0752120408302841,0.0501666256651552,0.0850707118198049,140.029645365934,99.4159479910348,212.734971227716,2010-05-31,2010
201,6,2010,30,2010.45388127854,37.4499732174548,0.0682440952266015,0.0607130715602984,0.066352055689416,239.107357562533,214.684143479031,212.752753009395,2010-06-30,2010
202,7,2010,31,2010.53744292237,7.49300292781485,0.0503893437032583,0.0362919640721301,0.0516704514085761,32.9509628180055,22.5522973813866,61.376462622755,2010-07-31,2010
203,8,2010,31,2010.62237442922,4.34818877690897,0.0485493211819085,0.0520492882969017,0.049499533772405,18.1791242090166,19.4584388997131,19.7331269778927,2010-08-31,2010
204,9,2010,30,2010.70593607306,2.11017139139384,0.0542867143660844,0.0557144330795445,0.0516156979848691,9.817101881938,10.0844935096838,13.7306148871501,2010-09-30,2010
205,10,2010,31,2010.7894977169,2.05552901236886,0.0621262142354387,0.0650734710710708,0.0594042105364332,11.1051463997819,11.6423451752129,15.774204205506,2010-10-31,2011
206,11,2010,30,2010.87305936073,2.89964506815256,0.0747937007110875,0.0765820460977738,0.0753521570852376,18.5629345841152,19.0125002780037,15.8200662622431,2010-11-30,2011
207,12,2010,31,2010.95662100457,2.31083735301548,0.0944203944289974,0.0991793053561633,0.0920702888235173,18.7798808726122,19.7706184230504,14.6652691901694,2010-12-31,2011
208,1,2011,31,2011.04155251142,1.94847306416212,0.107202211943185,0.112213881210911,0.102099954109926,18.0591982469788,18.9156561337242,14.7379178972225,2011-01-31,2011
209,2,2011,28,2011.12237442922,1.68596480647221,0.0950624239934912,0.0871813300723395,0.0917719764650691,13.9085326902178,12.7846907626308,12.4994452447358,2011-02-28,2011
210,3,2011,31,2011.20319634703,1.9498432341477,0.0723411805219644,0.0691389751755171,0.0722704048213513,12.1385153321229,11.6278686756859,14.1780454388968,2011-03-31,2011
211,4,2011,30,2011.28675799087,6.56469449365047,0.0703345662319409,0.080483307970115,0.0748175906944251,40.8270683600658,46.366929810616,62.0620844779147,2011-04-30,2011
212,5,2011,31,2011.3703196347,24.9809391771158,0.079951215438823,0.0793785089932438,0.0823436481851014,180.930481434805,177.81425200636,207.201168624404,2011-05-31,2011
213,6,2011,30,2011.45388127854,61.4947513639777,0.0768093092851711,0.0700340707523653,0.0656056980347831,408.155632962339,371.939842647163,210.947268788371,2011-06-30,2011
214,7,2011,31,2011.53744292237,35.7267256507003,0.0570405515106442,0.0539124960855412,0.0511629359028432,184.146682912774,175.979015010544,60.948408512735,2011-07-31,2011
215,8,2011,31,2011.62237442922,7.07464435888407,0.0472436877765599,0.0495399204907156,0.050109897304812,29.0057440246999,29.6894723149413,19.7364102979457,2011-08-31,2011
216,9,2011,30,2011.70593607306,4.4702861467352,0.0479593410857799,0.0540188448364215,0.0527859549754374,18.4100179528553,20.9436198994073,13.904337464453,2011-09-30,2011
217,10,2011,31,2011.7894977169,3.58801846890854,0.0571109563477626,0.0470368837533133,0.0593535679328522,17.645574128433,14.4730508417599,15.6443443601995,2011-10-31,2012
218,11,2011,30,2011.87305936073,2.63139014355329,0.0752783740440289,0.0741197656385447,0.0756288506492981,17.0209582854802,16.7442424806628,15.8402144394155,2011-11-30,2012
219,12,2011,31,2011.95662100457,1.8739358169465,0.0931622743952283,0.0907071518364923,0.0932494795645862,15.0408646393852,14.6680612767329,14.8262610299404,2011-12-31,2012
220,1,2012,31,2012.04143897996,1.6020940918072,0.104512336283021,0.0995153669221281,0.104972484958557,14.4800019424183,13.8026581265074,15.137076154591,2012-01-31,2012
221,2,2012,29,2012.12340619308,1.49883997158344,0.0929558409596989,0.0891701993477646,0.0944097788084216,12.0897627397861,11.5899492657453,12.8585606607279,2012-02-29,2012
222,3,2012,31,2012.20537340619,3.23588478261418,0.0807005005161663,0.0776223998635539,0.0725513043542728,25.0329253385268,24.7118240639801,14.1599290725245,2012-03-31,2012
223,4,2012,30,2012.28870673953,8.09956195632068,0.076558295424559,0.0783980803049171,0.0735335950152844,54.8756629371219,56.7168541507416,60.4543360524957,2012-04-30,2012
224,5,2012,31,2012.37204007286,12.5388822613817,0.062036659016211,0.073780498910798,0.0798015738446552,67.6736395973807,79.7722037297524,201.086102313831,2012-05-31,2012
225,6,2012,30,2012.45537340619,7.74088190231743,0.0508880939292772,0.0527356774457144,0.064816580533955,34.8855213842677,36.28059465924,208.577904904941,2012-06-30,2012
226,7,2012,31,2012.53870673953,2.92768788052412,0.0512932121831621,0.0521213325477419,0.0510680379061819,12.9478950560592,13.150136298848,60.5396156875746,2012-07-31,2012
227,8,2012,31,2012.62340619308,1.84762855322334,0.0570702292350844,0.0599479246084425,0.0508336898037503,9.04926738781857,9.52230962705269,19.8890263324224,2012-08-31,2012
228,9,2012,30,2012.70673952641,1.48408591818238,0.0621002972170483,0.0621171852074151,0.0538396636384653,7.91010954150741,7.89493288301471,14.1068576330768,2012-09-30,2012
229,10,2012,31,2012.79007285974,1.46443768058915,0.0677920298272203,0.0671254770649928,0.0600982883322069,8.57054250906686,8.48403726361798,15.784523993764,2012-10-31,2013
230,11,2012,30,2012.87340619308,1.24924487229815,0.0804564665396602,0.0651050180131883,0.0762727140818448,8.64200873711278,7.0968425710484,15.9414566639319,2012-11-30,2013
231,12,2012,31,2012.95673952641,1.17478374563729,0.0936058028102051,0.0852181262438138,0.0949991999625965,9.50375651993681,8.65813463637578,15.0921478811729,2012-12-31,2013
232,1,2013,31,2013.04155251142,1.16016859912442,0.0999626780272538,0.104054493457693,0.108439185157859,10.0217502803828,10.4463016142774,15.640593428993,2013-01-31,2013
233,2,2013,28,2013.12237442922,1.19264489009219,0.0860191477355133,0.104810517499747,0.0979328164040487,8.87409217853676,10.8158515974959,13.3501372831826,2013-02-28,2013
234,3,2013,31,2013.20319634703,1.33555035727881,0.0634597126430572,0.0545983507932297,0.0750098922821248,7.30571633489714,6.21097297165258,14.6677565635988,2013-03-31,2013
235,4,2013,30,2013.28675799087,4.1212338204973,0.0596868966646986,0.0434538056377399,0.0756090795837784,23.0884343606382,19.1217063362589,61.7373281386076,2013-04-30,2013
236,5,2013,31,2013.3703196347,20.0958264551904,0.0725179926301958,0.0705474639059434,0.0803236057620774,129.966754745155,126.223751056376,201.583382359452,2013-05-31,2013
237,6,2013,30,2013.45388127854,22.6487576205471,0.0599552059083714,0.052240155267234,0.0649607594011774,122.342229508103,104.323172230699,208.764343715011,2013-06-30,2013
238,7,2013,31,2013.53744292237,5.67341718696307,0.0505567486245506,0.048652268757156,0.0517439433979079,24.7530562837944,23.7676181328886,60.8984078122426,2013-07-31,2013
239,8,2013,31,2013.62237442922,3.65205107956803,0.0521343826651902,0.0461396801644198,0.05198971191745,16.3482396172727,14.5333163785651,20.2590807133791,2013-08-31,2013
240,9,2013,30,2013.70593607306,5.58719695700373,0.0487466606285742,0.0462468445360984,0.0547764684527179,22.5339544513633,21.2940718481832,14.3097925726803,2013-09-30,2013
241,10,2013,31,2013.7894977169,4.7910277162488,0.0529415013063449,0.0380363953337461,0.0601556131497621,21.7025223275719,15.8267939665354,15.718504274044,2013-10-31,2014
242,11,2013,30,2013.87305936073,3.24293963562883,0.0733605579390656,0.0610286401941566,0.0761900991090439,20.3850249555465,17.0425927608936,15.8905548295814,2013-11-30,2014
243,12,2013,31,2013.95662100457,2.41022034930297,0.0970310689034833,0.0821452570276171,0.0956052614829458,20.1728985114149,17.0273840290049,15.1822426752932,2013-12-31,2014
244,1,2014,31,2014.04155251142,2.01040474751039,0.116497581626863,0.115621628991415,0.11030069542229,20.2207972469232,20.050488534242,15.9173491271082,2014-01-31,2014
